,Instrument,Strings & Courses,Tuning(s),Alternative Names,Origin,Notes,Picture,StandardTuning
0,Ahenk,12 strings 6 courses,Standard/Common: A3 A3•B3 B3•E4 E4•A4 A4•D5 D5•G5 G5 Alternates: May also use various oud tunings,,Turkey,,,A3:A3:B3:B3:E4:E4:A4:A4:D5:D5:G5:G5
1,Ajayu,12 strings 5 courses,Standard/Common: A A•E E•A A•C# C# C#•F# F# F# Alternate:  C C•G G•C C•E E E•A A A,,Chile,"A very recent instrument, invented in 2007",,
2,Akkordolia,4 strings 4 courses,F2 A2 C3 F3,"Taishogoto, Bulbul-tarang, Benju",Germany & Austria / Japan / India / Pakistan,"There are also a number of drone strings, the number and tuning of which vary widely.",,F2:A2:C3:F3
3,Akonting,3 courses 3 strings,Common: Casamance: D3 G3 F4 Gambian: C3 F3 E4,"Ekonting, Bunchundo, Econtin, Konting",Senegal,Often strung with fishing line. A rare 4-string version also exists.,,
4,Amzad,1 string 1 course,No standard tuning; tuned to any convenient note.,Imzad,"Niger, Mali, Algeria",Horse hair string.,,
5,Archlute,27 strings 14 courses,F1 F2•G1 G2•A1 A2•B1 B2•C2 C3• D2 D3•E2 E3•F2 F3•G2 G2•C2 C2• F3 F3•A3 A3•D4 D4•G4,"Arciliuto, Erzlaute.",Europe,"Number of courses could vary from 11-14, and the number of strings from 21-27.","12-course, 23-string archlute:",F1:F2:G1:G2:A1:A2:B1:B2:C2:C3:D2:D3:E2:E3:F2:F3:G2:G2:C2:C2:F3:F3:A3:A3:D4:D4:G4
6,Armonico,7 strings 6 courses,E3•A3•D4•G4 G4•B3•E4,,Cuba,,,E3:A3:D4:G4:G4:B3:E4
7,Arpeggione,6 strings 6 courses,E2 A2 D3 G3 B3 E4,,"Vienna, Austria",Rare. Tuning is same as guitar.,,E2:A2:D3:G3:B3:E4
8,Autoharp,36 strings 36 courses,F2 G2 C3 D3 E3 F3 F#3 G3 A3 A#3 B3 C4 C#4 D4 D#4 E4 F4 F#4 G4 G#4 A4 A#4 B4 C5 C#5 D5 D#5 E5 F5 F#5 G5 G#5 A5 A#5 B5 C6,Chord zither,USA,"Instruments with additional strings exist (from 37 - 48 totalstrings), but are very rare.",,F2:G2:C3:D3:E3:F3:G3:A3:B3:C4:D4:E4:F4:G4:A4:B4:C5:D5:E5:F5:G5:A5:B5:C6
9,Baglamas,6 strings 3 courses,D4 D5•A4 A4•D5 D5,"Baglama, Baglama Saz, Baglamadaki",Greece,"Standard AKA ""Modal D""",,D4:D5:A4:A4:D5:D5
10,Bajo quinto,10 strings 5 courses,A2 A1•D3 D2•G2 G2•C3 C3•F3 F3,,Mexico,"True 10-string bajo quintos are made, but many so-called ""bajo quintos"" are really bajo sextos with the lowest course removed.",,A2:A1:D3:D2:G2:G2:C3:C3:F3:F3
11,Bajo Sexto,12 strings 6 courses,Standard/Common (All fourths): E2 E1•A2 A1•D3 D2•G2 G2•C3 C3•F3 F3 Alternate:  Guitar:  E2 E1•A2 A1•D3 D2•G2 G2•B2 B2•E3 E3,,Mexico,"In practice the bottom course is often removed(2 strings), making the instrument effectively a bajo quinto.",,E2:E1:A2:A1:D3:D2:G2:G2:C3:C3:F3:F3
12,"Balalaika, Alto",3 strings 3 courses,E3 E3 A3,Alto,Russia,See Ekkel (1997) for all Balalaika tunings.[5],,E3:E3:A3
13,"Balalaika, Bass",3 strings 3 courses,Standard: E2 A2 D3 Old Orchestral:  E2 A2 E3,Bass,Russia,,,E2:A2:D3
14,"Balalaika, Contrabass",3 strings 3 courses,Standard: E1 A1 D2 Old Orchestral:  E1 A1 E2,Contrabass,Russia,,,E1:A1:D2
15,"Balalaika, Descant",3 strings 3 courses,E5 E5 A5,Descant,Russia,Obsolete,,E5:E5:A5
16,"Balalaika, Piccolo",3 strings 3 courses,Standard: B4 E5 A5 Old Orchestral:  E4 A4 E5,Piccolo,Russia,Rare,,B4:E5:A5
17,"Balalaika, Prima",3 strings 3 courses,Standard/Common: E4 E4 A4 Alternates:  Folk: C4 E4 G4 Russian guitar: G3 B3 D4,Prima,Russia,This is the standard instrument of the balalaika family,,E4:E4:A4
18,"Balalaika, Prima, 6-string",6 strings 3 courses,Standard: E4 E4 • E4 E4 • A4 A4 Alternates:  Same as for 3-string prima,Prima,Russia,"A more recent development, professionals consider these inferior to 3-string instruments.",,E4:E4:E4:E4:A4:A4
19,"Balalaika, Secunda",3 strings 3 courses,A3 A3 D4,Secunda,Russia,"Often just a prima with altered tuning, though slightly larger secundas are also made.",,A3:A3:D4
20,"Balalaika, Tenor",3 strings 3 courses,E3 A3 E4,Tenor,Russia,Obsolete,,E3:A3:E4
21,Bandola Andina Colombiana,16 strings 6 courses,F#3 F#3•B3 B3•E4 E4 E4•A4 A4 A4•D5 D5 D5•G5 G5 G5,,Colombia,,,B3:B3:E4:E4:E4:A4:A4:A4:D5:D5:D5:G5:G5:G5
22,Bandola Llanera,4 strings 4 courses,A2 D3 A3 E4,,Venezuela,,,A2:D3:A3:E4
23,Bandola Oriental,8 strings 4 courses,G3 G3•D4 D4•A4 A4•E5 E5,,Venezuela,,,G3:G3:D4:D4:A4:A4:E5:E5
24,Bandolin,15 strings 6 courses,E5 E4 E5•A5 A4 A5•D5 D5 D5•F#5 F#5 F#5•B5 B5 B5,,Ecuador,,,E5:E4:E5:A5:A4:A5:D5:D5:D5:B5:B5:B5
25,"Bandurria, Philippine",14 strings 6 courses,F#3•B3 B3•E4 E4•A4 A4 A4•D5 D5 D5•G5 G5 G5,,Philippines,One octave higher than the Philippine laud.,,B3:B3:E4:E4:A4:A4:A4:D5:D5:D5:G5:G5:G5
26,"Bandurria, Spanish",12 strings 6 courses,G#3 G#3•C#4 C#4•F#4 F#4•B4 B4•E5 E5•A5 A5,,Spain,"Standard tuning AKA ""Spanish tuning"", one octave higher than the laud.",,B4:B4:E5:E5:A5:A5
27,"Banjo, Bass",4 strings 4 courses,E1 A1 D2 G2,,US,"The Cello banjo is sometimes called ""bass banjo"", but it is tuned differently, and there are true bass banjos as well.",,E1:A1:D2:G2
28,"Banjo, Cello",4 strings 4 courses,C2 G2 D3 A3,"""bass"" banjo",US,Same as used for the cello.,,C2:G2:D3:A3
29,"Banjo, Cello",5 strings 5 courses,G3 D2 G2 B2 D3,banjo cello,US,One octave lower than 5-string Bluegrass Banjo.,,G3:D2:G2:B2:D3
30,"Banjo, Contrabass",3 strings 3 courses,Standard/Common: E1 A1 D2 Alternates:  D1 G1 C2 D1 A1 D2 C1 G1 C2,,US,"Essentially in the same range as the bass banjo, but with a much larger resonator. These instruments are very rare, and tuning is not standardized.",[6][7],E1:A1:D2
31,Banjo (5-string),5 strings 5 courses,Standard/Common: G4 D3 G3 B3 D4 Alternates:  C tuning: G4 C3 G3 B3 D4 Double C: G4 C3 G3 C3 D4 Sawmill: G4 D3 G3 C3 D4 Open D: F#4 D3 F#3 A3 D4 Guitar: G4 D3 G3 B3 E4 Willie Moore: G4 D3 G3 A3 D4 Doc Bog's D: F#4 D3 G3 A3 D4 Cumberland Gap:G4 E3 A3 D3 E4 G Minor: G4 D3 G3 Bb3 D4 Open C: G4 C3 G3 C3 E4,Bluegrass Banjo,US via Africa,"Standard AKA ""Open G"" Sawmill AKA ""Mountain Modal"" Open D AKA ""Graveyard,"" ""Reuben"" Guitar AKA ""Old G,"" ""Sandy River Belle""  There are dozens of other, less common tunings.",,G4:D3:G3:B3:D4
32,Banjolin,4 strings 4 courses,G3 D4 A4 E5,,US,Hybrid of mandolin and banjo,,G3:D4:A4:E5
33,"Banjo, Long Neck",5 strings 5 courses,E4 B2 E3 G#3 B3,"""Pete Seeger"" Banjo",US (commissioned by Pete Seeger),Open string tuning; often played with capo on 3rd fret,,E4:B2:E3:B3
34,"Banjo, Tenor",4 strings 4 courses,Standard/Common (all fifths): C3 G3 D4 A4 Alternate:  Irish (all fifths): G2 D3 A3 E4,US,US via Africa,Irish tuning same as octave mandolin tuning,,C3:G3:D4:A4
35,"Banjo, Plectrum",4 strings 4 courses,C3 G3 B3 D4,,US via Africa,,,C3:G3:B3:D4
36,Baryton,17 strings 17 courses Two ranks,Bowed rank: A1 D2 G3 C3 E3 A3 D4 Plucked rank: A2 D3 E3 F#3 G3 A3 B3 C#3 D4 E4,,Europe (Germany?),"Seven bowed strings, and 10 resonating strings, also plucked with the left thumb",,A1:D2:G3:C3:E3:A3:D4
37,Basprim,,"(See Brac, 5 string)",,,,"(See Brac, 5 string)",
38,"Biscernica, 5 string",5 strings 4 courses,C#3•F#3•B3•E4 E4,Bisernica,Balkans,The prim has 5 strings; there is another bisernica which has 6 strings.,,B3:E4:E4
39,"Bisernica, 6 string",6 strings 4 courses,E3•A3•D4 D4•G4 G4,Tamburitza,"Croatia, Serbia, Hungary, Slovenia",Other courses are sometimes doubled.,,E3:A3:D4:D4:G4:G4
40,Bordonua,10 strings 5 courses,A2 A3•D4 D3•F#3 F#4•B3 B3•E4 E4,,Puerto Rico,,,A2:A3:D4:D3:B3:B3:E4:E4
41,Bouzouki,8 strings 4 courses,C3 C4•F3 F4•A3 A3•D4 D4,Tetrachordo bouzouki,Greece,"Standard AKA ""F6 tuning""",,C3:C4:F3:F4:A3:A3:D4:D4
42,Bouzouki,6 strings 3 courses,D3 D4•A3 A3•D4 D4,Trichordo bouzouki,Greece,"Standard AKA ""F6 tuning""",,D3:D4:A3:A3:D4:D4
43,"Bouzouki, Irish",,( See Irish bouzouki ),,,,( See Irish bouzouki ),
44,"Brac, 5 string",5 strings 4 courses,Standard/Common: E3•A3•D4•G4 G4 Alternate:  F#3•B3•E4•A4 A4,"Basprim, Brach","Croatia, Serbia, Slovenia",,,E3:A3:D4:G4:G4
45,"Brac, 6 string",6 strings 4 courses,G3 G3•D4 D4•A4 A4,Brach,"Croatia, Serbia, Slovenia",,,G3:G3:D4:D4:A4:A4
46,Braguinha,4 strings 4 courses,D4 B4 G4 D5,"Braguinã, Cavaquinho, Machete de braga","Madeira, Portugal","Standard AKA ""Banjo tuning"" (octave higher than the plectrum banjo)",,D4:B4:G4:D5
47,"Bugarija, 5 string",5 strings 4 courses,Standard/Common: G2•B2•D3•G3 G3 Alternates:  D2•F#2•A2•D3 D3 E2•G#2•B2•E3 E3,Kontra,"Croatia, Serbia, Slovenia",First course is sometimes not doubled.,,G2:B2:D3:G3:G3
48,"Bugarija, 6 string",6 strings 4 courses,Standard/Common: G2•B2•D3 D3•G3 G3 Alternates:  D2•F#2•A2 A2•D3 D3 E2•G#2•B2 B2•E3 E3,Kontra,"Croatia, Serbia, Slovenia",,,G2:B2:D3:D3:G3:G3
49,Cak,4 strings 3 courses,D5 D5 • G4 • B4,Steel kroncong guitar,Indonesia,,,D5:D5:G4:B4
50,Cavaquinho,4 strings 4 courses,Standard/Common: D4 G4 B4 D5 Alternates:  'Guitar': D4 G4 B4 E5 Alternative: G4 C5 B4 D5 Alternative: A4 A4 C#5 E5,"Cavaco, Manchete, Machimbo",Portugal,,,D4:G4:B4:D5
51,Cello,4 strings 4 courses,"Standard/Common: C2 G2 D3 A3 Alternates:  ""5th Suite"" tuning: C2 G2 D3 G3",Violoncello,Europe,"Many scordatura tunings have been employed by various composers for individual pieces, for example:  ""Zoltán Kodály"" tuning:  B1 F#2 D3 A3  ""Whole step down"" tuning:  Bb1 F2 C3 G3",,C2:G2:D3:A3
52,Celo,,"(See Čelovič, 4 string)",,,,"(See Čelovič, 4 string)",
53,"Čelovič, 4 string",4 strings 4 courses,E2 A2 D3 G3,"Celo, Csello, Cselo","Croatia, Serbia, Slovenia",This is the modern instrument,,E2:A2:D3:G3
54,"Čelovič, Farkas",6 strings 4 courses,D2•G2•C3 C3•G3 G3,"Celo, Csello, Cselo","Croatia, Serbia, Slovenia","The traditional 19th century instrument, developed by Jankovic Farkas, now virtually obsolete.",,D2:G2:C3:C3:G3:G3
55,Cetera,16 strings 8 courses,Standard/Common: C3 C3•D3 D3•Eb3 Eb3•F3 F3•G3 G3•G3 G3•D4 D4•G4 G4 Alternate:  Renaissance:  G2 G2•A2 A2•C3 C3•D3 D3•A3 A3•G3 G3•D4 D4•E4 E4,,"Corsica, France.",,,C3:C3:D3
56,Chanzy,3 strings 3 courses,Standard/Common: F2 C3 F3 Alternates:  D2 A2 D3 C2 G2 C3,"Chanzi, Tyanzi","Tuva, Russia",,,F2:C3:F3
57,Chapey,3 strings 2 courses,F3 F3 • B3,"Chapei, Chapei Dong Veng",Cambodia,,,F3:F3:B3
58,Chapman Stick,10 strings 10 courses,E3 A2 D2 G1 C1 F#2 B2 E3 A3 D4,"Stick, The Stick, Classic Stick",United States,"There are many alternate tunings, which vary from individual to individual",,E3:A2:D2:G1:C1:B2:E3:A3:D4
59,"Chapman Stick, Grand Stick",12 strings 12 courses,B3 E3 A2 D2 G1 C1 C#2 F#2 B2 E3 A3 D4,"Stick, The Stick, Grand Stick",United States,"There are many alternates, which vary from individual to individual",,B3:E3:A2:D2:G1:C1:B2:E3:A3:D4
60,Charango,10 strings 5 courses,Standard/Common: G4 G4•C5 C5•E5 E4•A4 A4•E5 E5 Alternates:  Argentine tuning:  C4 C4•F4 F4•A4 A3•D4 D4•A4 A4  Gm7/Bb6 Tuning:  F4 F4•Bb5 Bb5•C5 C4•G4 G4•D5 D5,"Quirquincho, Mulita, Tatu, Kirki","Bolivia, Peru, Argentina Chile, Ecuador","Common C6/Am7 or ""Bolivian"" tuning, but there are many variants. 3rd course is an octave pair.",,G4:G4:C5:C5:E5:E4:A4:A4:E5:E5
61,"Charango, Hatun",7 or 8 strings 6 or 7 courses,(A3) • D4 • G4 • C5 • E5 E4 • A4 • E5,"Grand Charango, Hatun Charango, Peruvian Charango",Peru,A recent addition to the charango family.,,
62,Charangón,10 strings 5 courses,Standard/Common: D4 D4•G4 G4•B4 B3•E4 E4•B4 B4 Alternates:  C6 Tuning  G3 G3•C4 C4•E4 E3•A3 A3•E4 E4  Bass G  G3 G2•C4 C3•E4 E3•A3 A3•E4 E4  Bolivian tuning:  C4 C4•F4 F4•A4 A3•D4 D4•A4 A4,"Tenor Charango, ""Bass"" Charango",Andean Region,"Standard AKA ""Argentine tuning"" or ""G6 tuning"", one fourth lower than the charango. Very similar in appearance to the charango, but slightly larger.",,D4:D4:G4:G4:B4:B3:E4:E4:B4:B4
63,"Charango, Ranka",11 strings 5 courses,G4 G4•C5 C5•E5 E4•A4 A4•E5 E5 E6•D4 D4•A4 A4•G5 G4•C5 C5•G5 G5 G6,"Patasi Charango, Ranqha Charango","Cochabamba, Bolivia",,,G4:G4:C5:C5:E5:E4:A4:A4:E5:E5:E6:D4:D4:A4:A4:G5:G4:C5:C5:G5:G5:G6
64,Chillador,10 strings 5 courses,Standard/Common: G3 G3•C4 C4•E4 E3•A3 A3•E4 E4 Alternates: Same as charango,,Andean mountains,Essentially a flat-backed charango,,G3:G3:C4:C4:E4:E3:A3:A3:E4:E4
65,Chitarra battente,10 strings 5 courses,A3 A3•D4 D4•G3 G3•B3 B3•E4 E4,,Italy,,,A3:A3:D4:D4:G3:G3:B3:B3:E4:E4
66,Chonguri,4 strings 4 courses,Standard/Common: D2 F2 D3 A2 Alternate:[*]  F3 A3 F4 C4,"Chaghyr, Chagur, Chugur, Choghur, Chungur, Chunguri",Georgia,[*]There are many tuning variations. Note that both examples here are re-entrant.,,D2:F2:D3:A2
67,Çiftelia,2 strings 2 courses,B3 E3,,Albania,"Common tuning, there are variants.",,B3:E3
68,Cimbalom,[*] about 125 strings about 53 courses,A2 A#2 B2 C3 C#3 D3 D#3 E3 F3 F#3 G3 G#3 [...] * A#5 B5 C6 C#6 D6 D#6 E6 F6 F#6 G6 G#6 A6,"Cimbál, cymbalom, cymbalum, ţambal, tsymbaly and tsimbl, santur, santouri, sandouri",Hungary,"* String number varies with size of instrument; bass courses are usually triple strung and higher courses typically quadruple strung. Range given is for a Concert Grand; other sizes with smaller, and with more extended ranges exist. Only lowest and highest octaves are given; intervening notes are tuned chromatically.",,
69,Cinco Cuatro,5 strings 4 courses,G3•D4 D3•F#4•B4,,North-western Venezuela,,,G3:D4:D3:B4
70,Cinco Y Medio,5 strings 5 courses,"Standard/Common: E4•G3•D4•F#4•B4 Alternates:  ""El Tocuyo tuning"":  A4•D3•F#4•B4•E4",,North-western Venezuela,,,
71,Cinco y Medio,6 strings 6 courses,"Standard/Common: E3•A3•D3•F#4•B4•E4 Alternate:  ""El Tocuyo tuning"":  A4•A3•D3•F#4•B4•E4",,North-western Venezuela,"Standard a.k.a. ""Sanara tuning""",,
72,Cinco Seis,,( See Seis Cinco ),,,,( See Seis Cinco ),
73,Cittern,10 strings 5 courses,Standard/Common: C2 C2•G2 G2•D3 D3•A3 A3•D4 D4 Alternates:  Mandolin low 'C' (All fifths):  C2 C2•G2 G2•D3 D3•A3 A3•E4 E4  Irish:  D2 D2•G2 G2•D3 D3•A3 A3•D4 D4  Mandolin high 'B':  G2 G2•D3 D3•A3 A3•E4 E4•B4 B4  Modal D:  D2 D2•A2 A2•D3 D3•A3 A3•D4 D4,Celtic or Flatback Cittern,Europe,Many other modal tunings have been described for citterns.,,C2:C2:G2:G2:D3:D3:A3:A3:D4:D4
74,Crwth,5 strings 5 courses,G2•C3•C2•D2•D3,"Crowd, Rote",Wales,Traditional Welsh tuning,,G2:C3:C2:D2:D3
75,Cuatro Alto,10 strings 5 courses,F#4 F#3•B3 B4•E4 E4•A4 A4•D5 D5,Alto Cuatro,Puerto Rico,Rare.[8],,B3:B4:E4:E4:A4:A4:D5:D5
76,Cuatro Antiguo,8 strings 4 courses,A3 A3•E4 E4•A4 A4•D5 D5,,Puerto Rico,"A 4 string/4 course version exists, tuned the same",,A3:A3:E4:E4:A4:A4:D5:D5
77,Cuatro Bajo,10 strings 5 courses,E3 E2•A3 A2•D3 D3•G3 G3•C4 C4,Bass Cuatro,Puerto Rico,Rare.[9],,E3:E2:A3:A2:D3:D3:G3:G3:C4:C4
78,Cuatro Cubano,8 strings 4 courses,Standard/Common: G4 G3•C4 C4•E4 E4•A4 A4 Alternates:  G4 G3•C4 C4•E4 E4•G4 G4 A4 A3•D4 D4•F#4 F#4•B4 B4,"Cuban Cuatro, Tres-Cuatro",Cuba,,,G4:G3:C4:C4:E4:E4:A4:A4
79,"Cuatro, Puerto Rican",10 strings 5 courses,B3 B2•E4 E3•A3 A3•D4 D4•G4 G4,"Cuatro Tradicional, Cuatro Tenor, Cuatro Puertorriqueno, Cuatro Aviolinado, Cuatro Moderno, Tenor Cuatro",Puerto Rico,The Tenor Cuatro is the standard instrument of the Puerto Rican Cuatro Family.[10] Cuatro Aviolinado means 'violin-shaped cuatro'; Cuatro Moderno is to distinguish from the Cuatro Antiguo,,B3:B2:E4:E3:A3:A3:D4:D4:G4:G4
80,"Cuatro, Venezuelan",4 strings 4 courses,A3•D4•F#4•B3,Cuatro Venezolano,Venezuela,"Standard AKA ""D6 tuning""",,A3:D4:B3
81,Cuatro Soprano,10 strings 5 courses,C#5 C#4•F#4 F#5•B4 B4•E5 E5•A5 A5,Soprano Cuatro,Puerto Rico,Rare.[11],,B4:B4:E5:E5:A5:A5
82,Cuk,3 strings 3 courses,G4 • B3 • E3,"Kroncong Cuk, Nylon kroncong guitar",Indonesia,,,G4:B3:E3
83,Cümbüş,12 strings 6 courses,Standard/Common: A2 A2•B2 B2•E3 E3•A3 A3•D4 D4•G4 G4 Alternates:  Alternative Standard: D2 D2•E2 E2•A2 A2•D3 D3•G3 G3•C4 C4 Egypt/Arab: D2 D2•G2 G2•A2 A2•D3 D3•G3 G3•C4 C4 Turkish/Armenian:  E2 E2•A2 A2•B2 B2•E3 E3•A3 A3•D4 D4,,Turkey,"Tunings are highly variable, other common alternates include:  Turkish Armenian alt.: C#2 C#2•F#2 F#2•B2 B2•E3 E3•A3 A3•D4 D4 New Turkish classical: F#2 F#2•B2 B2•E3 E3•A3 A3•D4 D4•G4 G4 Old Turkish classical:  A2 A2•D3 D3•E3 E3•A3 A3•D4 D4•G4 G4",,A2:A2:B2:B2:E3:E3:A3:A3:D4:D4:G4:G4
84,"Cümbüş, Tambur",6 strings 3 courses,D2 D2•A2 A2•D3 D3,,Turkey,,,D2:D2:A2:A2:D3:D3
85,Cura,6 strings 3 courses,D4 D4•A4 A4•E5 E5,Cura saz,Turkey,,,D4:D4:A4:A4:E5:E5
86,Cura,7 strings 3 courses,G3 G3•D4 D4•A4 A4 A4,Cura saz,Turkey,,,G3:G3:D4:D4:A4:A4:A4
87,Cura,8 strings 4 courses,G3 G3•D4 D4•A4 A4•E5 E5,Cura saz,Turkey,Same as Mandolin,,G3:G3:D4:D4:A4:A4:E5:E5
88,Đàn bầu,1 string/ 1 course,C3 [*],"Đàn độc huyền, Độc huyền cầm",Vietnam,"* Tuning is approximate, and frequently varies",,
89,Đàn đáy,3 strings 3 courses,G3•C4•F4,"Vo de cam, Đàn đáy",Vietnam,,,G3:C4:F4
90,Đàn nguyệt,"2 strings 2 courses""",[ * ],"Nguyệt cầm, Đàn kìm",Vietnam,"* There is no fixed tuning: one string is tuned to a convenient vocal pitch, the other is tuned a 4th, a 5th or (rarely) an octave above that.",,
91,Đàn nhị,"2 strings 2 courses""",Standard/Common: F C Alternates:  cheo: C G hoy bac: G D,Đàn cò,Vietnam,,,
92,Đàn tranh,"17 strings, 17 courses[*]",G3 A3 C4 D4 E4 G4 A4 C5 D5 E5 G5 A5 C6 D6 E6 G7 A7,,Vietnam,*Instruments with from 14-25 strings/courses have been made; 17 is considered the current standard (2014),,G3:A3:C4:D4:E4:G4:A4:C5:D5:E5:G5:A5:C6:D6:E6:G7:A7
93,Daruan,4 strings 4 courses,D2 A2 D3 A3',Bass Ruan,China,"lit. ""large Ruan""",,
94,Dihu,2 strings 2 courses,G2 D3 D3 A3,"Dadihu, Dahu, Ziaodihu, Zhongdihu",China,A larger version of the Erhu. Either tuning may be considered standard.,,G2:D3:D3:A3
95,Diyinruan,4 strings 4 courses,G1 D2 G2 D3',Contraass Ruan,China,"lit. ""low pitched Ruan""",,
96,Dombra,2 strings 2 courses,Standard: D4•G4,"Dambura, Dumbyra, Tumpyra, Tumra, Danbura",North central Asia,,,
97,"Domra, Alto",3 strings 3 courses,E3•A3•D4,,Russia,,,E3:A3:D4
98,"Domra, Alto",4 strings 4 courses,C3•G3•D4•A4,,Ukraine,Same as mandola tuning,,C3:G3:D4:A4
99,"Domra, Bass",3 strings 3 courses,E2•A2•D3,,Russia,,,E2:A2:D3
100,"Domra, Bass",4 strings 4 courses,C2•G2•D3•A3,,Ukraine,Same as mandocello tuning,,C2:G2:D3:A3
101,"Domra, Contrabass",3 strings 3 courses,Standard: E1•A1•D2 Alternate:  A1•D2•G2,,Russia,,,E1:A1:D2
102,"Domra, Contrabass",4 strings 4 courses,E1•A1•D2•G2,,Ukraine,Same as the orchestral double bass,,E1:A1:D2:G2
103,"Domra, Mezzo-soprano",3 strings 3 courses,B3•E4•A4,,Russia,Rare,,B3:E4:A4
104,"Domra, Piccolo",3 strings 3 courses,B4•E5•A5,,Russia,,,B4:E5:A5
105,"Domra, Piccolo",4 strings 4 courses,C4•G4•D5•A5,,Ukraine,Octave higher than the mandola,,C4:G4:D5:A5
106,"Domra, Prima",3 strings 3 courses,E4•A4•D5,The main instrument of the domra family,Russia,,,E4:A4:D5
107,"Domra, Prima",4 strings 4 courses,G3•D4•A4•E5,,Ukraine,Same as mandolin tuning,,G3:D4:A4:E5
108,"Domra, Tenor",3 strings 3 courses,B2•E3•A3,,Russia,,,B2:E3:A3
109,"Domra, Tenor",4 strings 4 courses,G2•D3•A3•E4,,Ukraine,Same as octave-mandolin tuning,,G2:D3:A3:E4
110,Dotar,2 strings 2 courses,Standard/Common: D3•G3 Alternate:  D3•A3,Dutar,Uzbekistan,This instrument is found in many forms throughout central Asia.,,D3:G3
111,Dotara,4 strings 4 courses,F#3•C#3•F#4•B4,,India,,,B4
112,Dotara,6 strings 5 courses,G2 G3•C4•G4•G4•C5,,Bangladesh,,,G2:G3:C4:G4:G4:C5
113,Double bass,4 strings 4 courses,"Standard/Common: E1•A1•D2•G2 Alternates:  Drop D: D1•A1•D2•G2 Solo Tuning: F#1•B1•E2•A2 With low 'C' machine:  C1•A1•D2•G2  'C' Machine ""Legion"":  B0•A1•D2•G2","Bass, bass fiddle, contrabass, string bass, standup bass, doghouse",Europe,"Standard AKA ""orchestral tuning""",,E1:A1:D2:G2
114,"Double bass, 5-string",5 strings 5 courses,Standard/Common: C1•E1•A1•D2•G2 Alternates:  Modern 4th tuning:  B0•E1•A1•D2•G2,"Bass, bass fiddle, contrabass, string bass, standup bass, doghouse",Europe,"Standard AKA ""orchestral tuning""",,C1:E1:A1:D2:G2
115,Dranyen,7 strings 3 courses,A3 A3•D4 D3 D3•G3 G3,"Dramyin, Dramnyen",Bhutan and Tibet,"Standard AKA ""Bhutanese tuning""",,A3:A3:D4:D3:D3:G3:G3
116,Dranyen,6 strings 3 courses,A3 A3•D3 D3•G3 G3,"Dramyin, Dramnyen",Bhutan and Tibet,"Standard AKA ""Tibetan tuning""",,A3:A3:D3:D3:G3:G3
117,"Dulcimer, 3 course",3-6 strings 3 courses,"Standard/Common:  3-string: A3•A3•D3 4-string: A3 A3•A3•D3 5-string: A3 A3•A3•D3 D3 6-string: A3 A3•A3 A3•D3 D3  Alternates (see notes):  Mixolydian: D4•A3•D3 Dorian: G3•A3•D3 Aeolian: C4•A3•D3 Galax (""Unison""): D4•D4•D3","Mountain Dulcimer, Appalachian Dulcimer, Lap Dulcimer, Dulcimore, Delcimore, Delcimer",US,"Most dulcimers are either 3 or 4 course; any or all courses may be doubled with a second, unison string—hence the number of different stringing possibilities. Alternates listed here give a pitch for each whole course, regardless of number of strings. Many variants are used; there is no fixed ""standard"" for the four-course. Chromatic instruments exist, but traditionally dulcimers are fretted in diatonic intervals: whole (step), whole, half, whole, whole, whole, half.[12]","3-course, 4-string dulcimer:",
118,"Dulcimer, 4 course",4-8 strings 4 courses,Common*:  4-string: D4•D4•A3•D3 5-string: D4 D4•D4•A3•D3 6-string: D4 D4•D4•A3•D3 D3 8-string: D4 D4•D4 D4•A3 A3•D3 D3  Alternates (see notes):  G-tuning: D4•B3•G3•D3 Dorian: D4•C4•G3•D3 Ragtime: D4•A#3•A3•D3 D-tuning: F#4•D4•A3•D3,"Mountain Dulcimer, Appalachian Dulcimer, Lap Dulcimer, Dulcimore, Delcimore, Delcimer",US,,,
119,Ektara,1 string 1 course,No standard; string is tuned to any convenient pitch.,"Ektar, Iktar, Gopichand, Gobijeu",India,,,
